Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
19670,Digital Asset Management Attributes (DAM),File Colour Scheme Code,dam/imageInfo/fileColourSchemeCode,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileColourSchemeCode,3017,D3FCOLSCD,,N/A,O,The type of colour scheme used in the digital asset. ,string,,1,35,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19690,Digital Asset Management Attributes (DAM),File Compression Type,dam/imageInfo/fileCompressionType,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileCompressionType,3018,D3FLCOTYP,,N/A,O,"A description of the compression method used to reduce the file size stored at the link. This information is used to aid the user in choosing the correct program to extract the file. Examples include Quick Time, Real Player, mpg, WinZip, etc.",string,,1,70,N/A,0..Many,Language,StandardLanguageCodes,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19710,Digital Asset Management Attributes (DAM),File Contrast,dam/imageInfo/fileContrast,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileContrast,3020,D3FILCONT,,N/A,O,The contrast used in the digital asset. Contrast is the difference in brightness between light and dark areas of an image. Contrast determines the number of shades in the image.,string,,1,70,N/A,0..Many,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19730,Digital Asset Management Attributes (DAM),File Pixel Height (system determined),dam/imageInfo/filePixelHeight,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/filePixelHeight,3021,D3FLPIXHT,,N/A,O,The number of pixels along the vertical axis of the image.,float,15,15,15,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19750,Digital Asset Management Attributes (DAM),File Pixel Width (system determined),dam/imageInfo/filePixelWidth,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/filePixelWidth,3022,D3FLPXWTH,,N/A,O,The number of pixels along the horizontal axis of the image.,float,15,15,15,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19770,Digital Asset Management Attributes (DAM),File Playback Rate,dam/imageInfo/filePlaybackRate,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/filePlaybackRate,3023,D3FPLYRAT,,N/A,O,The targeted frame rate for the display of the digital asset. Expressed as an integer representing the number of frames per second.,integer,,1,15,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19790,Digital Asset Management Attributes (DAM),File Print Height,dam/imageInfo/filePrintHeight,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/filePrintHeight,3024,D3FPRTHT,D3FPRHUOM,N/A,O,The maximum measurement along the vertical axis of a printed representation of the file.,float,15,15,15,N/A,0..Many,UOM,DimensionsUOM,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19810,Digital Asset Management Attributes (DAM),File Print Width,dam/imageInfo/filePrintWidth,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/filePrintWidth,3026,D3FPRTWTH,D3FPRWUOM,N/A,O,The maximum measurement along the horizontal axis of a printed representation of the file.,float,15,15,15,N/A,0..Many,UOM,DimensionsUOM,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name"
19830,Digital Asset Management Attributes (DAM),Is File Background Transparent,dam/imageInfo/isFileBackgroundTransparent,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/isFileBackgroundTransparent,3033,D3ISFBKTP,,N/A,O,An indicator of whether or not the background used in the file is transparent.  Having a transparent background would allow a recipient to place the file into any setting necessary.,VV/NonBinaryLogicCodes,,1,60,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
4/30/2020 - Errata : Corrected the  Data Type column."
19850,Digital Asset Management Attributes (DAM),Number of Items in Digital Asset,dam/imageInfo/numberOfItemsInDigitalAsset,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileContentInformation/numberOfItemsInDigitalAsset,3042,D3NOITDAS,,N/A,O,"The number of items in the digital asset, where the asset contains more than one item.",integer,,1,15,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
03/14/2017 - Added new DAM attribute"
19870,Digital Asset Management Attributes (DAM),Vertical Camera Angle Code,dam/imageInfo/verticalCameraAngleCode,referencedFileDetailInformationModule/referencedFileHeader/referencedFileDetail/fileContentInformation/verticalCameraAngleCode,3045,D3EFLVCAC,,N/A,O,The vertical angle used to photograph an object expressed as a code for example PARALLEL.,VV/VerticalCameraAngleCode,,1,80,N/A,0..1,,,,,Each asset in DAM can be Relationship Dependent (RDD) at the asset or attribute group level.,,1WorldSync DAM attribtues will be mapped into the corresponding External File Link (EFL) attribute in the outbound publication. The GDSN information provided is the same for both the DAM and EFL Attributes.,,3/30/2023,"3/30/2023- DOCUMENTATION CHANGE ONLY- Added note about the GDSN information on this attribute for IM 8.37
10/4/2022- DOCUMENTATION CHANGE ONLY- Updated DSD information
7/15/2022- DOCUMENTATION CHANGE ONLY_ Updated the GDSN XML Name 
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update the IM XML Name and GDSN XML Name
2/15/2019 - Added missing DAM attribute"
